country,gdp_per_capita,life_expectancy,inflation_rate
North Macedonia,7606.2375253797,74.4248780487805,14.2047173195833
Norway,109269.520580298,82.509756097561,5.76412317852275
Oman,23223.5829405935,77.911,2.50614250614251
Pakistan,1538.3228133171,67.417,19.8738599646655
Palau,14392.2011374514,68.922,12.3526638378124
Panama,17332.4360742988,79.324,2.85965128834714
Papua New Guinea,3102.28968594061,65.274,5.25323922215241
Paraguay,6205.6259537937,72.319,9.76556667164403
Peru,7350.63034300417,76.834,8.33370630096233
Philippines,3548.06930572116,69.472,5.82115811213955
Poland,18891.213529396,77.1560975609756,14.4294507575758
Portugal,24620.519556875,81.6317073170732,7.83269124233322
Qatar,88701.463352273,81.857,4.99527553740757
Romania,15557.8826247584,75.1536585365854,13.7954887432521
Rwanda,975.469323979541,67.528,17.6892095588153
Samoa,3869.46639492144,71.55,10.9618822286844
San Marino,54264.570495898,85.708,5.32545321311364
Sao Tome and Principe,2389.73729784737,69.237,18.0056351122841
Saudi Arabia,38510.2276211037,77.31,2.47407371925371
Senegal,1574.0281059306,67.788,9.69681899081074
Serbia,10022.9688543402,75.2365853658537,11.9815117344702
Seychelles,16836.6721895387,73.7024390243903,2.62603632851287
Sierra Leone,860.774590932595,61.275,27.2082883814653
Singapore,90299.0694637269,82.8951219512195,6.13095418919736
Slovak Republic,21334.6011006572,76.9658536585366,12.774146363761
Slovenia,28373.8382265999,81.2829268292683,8.83369886749455
Solomon Islands,2005.4139933198,70.409,5.51812928576935
South Africa,6523.41097815853,65.454,7.03987272546481
Spain,30270.2687017458,83.1341463414634,8.39057634118634
Sri Lanka,3342.63650253855,77.3,49.7211021114328
St. Kitts and Nevis,20985.0112160159,70.313,2.66817533111249
St. Lucia,13103.8243147472,72.67,6.37814695133356
St. Vincent and the Grenadines,9693.55867833025,71.191,5.66009779226555
Sudan,1046.24084472656,65.695,138.808460241759
Suriname,6084.43876736445,73.254,52.446027276241
Sweden,55296.9371472535,83.0585365853659,8.36929098869185
Switzerland,94394.5106803525,83.6048780487805,2.8350279864446
Tanzania,1207.85302734375,66.879,4.35027204269098
Thailand,6909.35281815827,75.291,-1.6106803048669
Timor-Leste,2343.24523350389,67.368,7.00530945399787
Togo,898.758154410712,62.29,7.96757361617943
Tonga,4933.07466930785,72.635,10.9713652903022
Trinidad and Tobago,20874.37682915,73.331,5.82838638517964
Tunisia,3708.8481241036,76.05,8.30646124447624
Turkiye,10674.504157865,77.591,72.3088359891207
Uganda,963.067314233497,67.675,7.19578885975811
Ukraine,4199.6708984375,72.658,20.1836366617478
United Arab Emirates,49899.0652975197,80.487,5.29122604376852
United Kingdom,46062.9914079698,81.0112195121951,7.92204883147907
United States,77860.9112908848,77.4341463414634,8.00279982052121
Uruguay,20818.6146091144,76.468,9.10437983075439
Uzbekistan,2578.66689394219,72.147,11.4466436998836
Vanuatu,3292.34108821237,71.302,6.67930581887123
Viet Nam,4147.69777213621,74.502,3.15650749963127
West Bank and Gaza,3799.95527015163,76.662,3.74122391852073
Zambia,1447.12310138035,65.279,10.9932039209136
Zimbabwe,2040.54658705395,62.36,104.705170628667
